################################################################################
# JOBS
################################################################################

################################################################################
# MINOR TITLES
################################################################################

################################################################################
# NOBLE TITLES - GENERIC
################################################################################
### CITY
### IMPERIAL
### NOMADIC
### TEMPLE
temple_baron_male_dacian;Ktístai;;;;;;;;;;;;;x # Fallback from thracian
### TRIBAL

################################################################################
# TITLES
################################################################################
### GENERIC
barony_of_dacian;Dava;;;;;;;;;;;;;x
barony_dacian;Dava;;;;;;;;;;;;;x
county_of_dacian;Dina;;;;;;;;;;;;;x
county_dacian;Dina;;;;;;;;;;;;;x
kingdom_of_dacian;Tauta;;;;;;;;;;;;;x
kingdom_dacian;Tauta;;;;;;;;;;;;;x
### CITY
city_barony_of_dacian;Dava;;;;;;;;;;;;;x
city_barony_dacian;Dava;;;;;;;;;;;;;x
### TRIBAL
tribal_barony_of_dacian;Dava;;;;;;;;;;;;;x
tribal_barony_dacian;Dava;;;;;;;;;;;;;x
tribal_county_of_dacian;Dina;;;;;;;;;;;;;x
tribal_county_dacian;Dina;;;;;;;;;;;;;x
tribal_kingdom_of_dacian;Tauta;;;;;;;;;;;;;x
tribal_kingdom_dacian;Tauta;;;;;;;;;;;;;x

